species	max_distance	mean_distance	std_distance	quartile_75_distance	quartile_25_distance	max_length	min_length
'Catharanthus roseus'	0.0	0.0		0.0	0.0	603949.0	603949.0
'Nostoc azollae'	0.0	0.0		0.0	0.0	5486145.0	5486145.0
Acaryochloris marina	0.0	0.0		0.0	0.0	8361599.0	8361599.0
Acetoanaerobium sticklandii	0.0	0.0		0.0	0.0	2715461.0	2715461.0
Acetobacter aceti	0.0	0.0		0.0	0.0	3725037.0	3725037.0
Acetobacter ascendens	0.0182524	0.009807377777777777	0.008447414714836985	0.0179508	0.0	3285832.0	2999217.0
Acetobacter orientalis	0.0	0.0		0.0	0.0	3214967.0	3214967.0
Acetobacter oryzifermentans	0.0196275	0.00981375	0.01133194240851938	0.0196275	0.0	3127455.0	3106397.0
Acetobacter pasteurianus	0.06263250000000001	0.018785293455621303	0.023234982637939664	0.052714	0.0	3408817.0	2806148.0
Acetobacter persici	0.0	0.0		0.0	0.0	3756676.0	3756676.0
Acetobacter pomorum							
Acetobacter senegalensis	0.0	0.0		0.0	0.0	3969909.0	3969909.0
Acetobacter sp.							
Acetobacter tropicalis							
Acetobacteraceae bacterium	0.210897	0.1054485	0.1217614397212845	0.210897	0.0	2127761.0	1923586.0
Acetobacterium woodii	0.0	0.0		0.0	0.0	4044777.0	4044777.0
Acetohalobium arabaticum	0.0	0.0		0.0	0.0	2469596.0	2469596.0
Acetomicrobium mobile	0.0	0.0		0.0	0.0	2160700.0	2160700.0
Acholeplasma axanthum	0.0	0.0		0.0	0.0	1883099.0	1883099.0
Acholeplasma brassicae	0.0	0.0		0.0	0.0	1877792.0	1877792.0
Acholeplasma hippikon	0.0	0.0		0.0	0.0	1465667.0	1465667.0
Acholeplasma laidlawii	9.55247e-05	4.776235e-05	5.5151211259258243e-05	9.55247e-05	0.0	1497557.0	1496992.0
Acholeplasma oculi	0.0	0.0		0.0	0.0	1587120.0	1587120.0
Acholeplasma palmae	0.0	0.0		0.0	0.0	1554229.0	1554229.0
Achromobacter denitrificans	0.010568799999999998	0.005284399999999999	0.006101899525011316	0.010568799999999998	0.0	7010850.0	6929205.0
Achromobacter insolitus	0.0101459	0.004509288888888889	0.005347358818717059	0.0101459	0.0	6893045.0	6472476.0
Achromobacter sp.	0.14383	0.071915	0.08304028921754388	0.14383	0.0	6648943.0	6236552.0
Achromobacter spanius	0.132399	0.06231492499999999	0.05773550402982553	0.126974	0.0	6687823.0	6340208.0
Achromobacter xylosoxidans	0.126974	0.05816840653061224	0.04262115219058126	0.0651085	0.011801700000000002	7359146.0	5876049.0
Acidaminococcus fermentans	0.0	0.0		0.0	0.0	2329769.0	2329769.0
