taxonId,superkingdom,genus,species
100,2,99,100
1000373,10239,1299297,1000373
100053,2,171,100053
1000561,2,286,287
1000562,2,1301,119224
1000565,2,378210,378211
1000568,2,906,1000568
1000569,2,906,1000569
1000570,2,1301,1328
1000588,2,1301,28037
1000589,2,1301,1334
1000590,2,1279,1282
1000664,10239,10814,2050929
1000665,10239,10814,2050930
1000690,10239,190729,2010314
1000935,2,768,770
1000936,2,768,770
1000937,2,768,770
1000938,2,768,770
1000939,2,768,770
1000951,2,662,666
1000952,2,662,666
1000953,2,662,666
1001080,10239,1980442,1980488
1001240,2,69578,1001240
1001341,10239,10814,1001341
1001530,2,657,553611
1001533,10239,1513246,1513255
1001534,2,262,263
1001542,2,262,263
1001582,2,1386,1390
1001583,2,1578,1580
1001585,2,286,300
1001586,2,171,173
1001587,2,171,173
1001588,2,171,173
1001589,2,171,28184
1001590,2,171,173
1001591,2,171,173
1001592,2,171,28183
1001593,2,171,28182
1001595,2,171,28182
1001596,2,171,173
1001597,2,171,173
1001598,2,171,173
1001599,2,171,173
1001601,2,171,173
1001602,2,171,173
1001603,2,171,173
1001704,2,670516,36809
1001705,2,670516,36809
1001706,2,670516,36809
1001707,2,670516,36809
1001708,2,670516,36809
1001709,2,670516,36809
1001710,2,670516,36809
1001711,2,670516,36809
1001712,2,670516,36809
1001713,2,670516,36809
1001714,2,670516,36809
1001715,2,670516,36809
1001716,2,670516,36809
1001717,2,670516,36809
1001718,2,670516,36809
1001719,2,670516,36809
1001720,2,670516,36809
1001721,2,670516,36809
1001722,2,670516,36809
1001723,2,670516,36809
1001724,2,670516,36809
1001725,2,670516,36809
1001726,2,670516,36809
1001727,2,670516,36809
1001728,2,670516,36809
1001729,2,670516,36809
1001730,2,670516,36809
1001731,2,670516,36809
1001732,2,670516,36809
1001733,2,670516,36809
1001734,2,670516,36809
1001735,2,670516,36809
1001736,2,670516,36809
1001737,2,670516,36809
1001738,2,670516,36809
1001739,2,670516,36809
100174,2,1485,100174
1001740,2,670516,36809
1001741,2,670516,36809
1001744,2,1301,1313
1001745,2,1301,1313
1001746,2,1301,1313
1001747,2,1301,1313
1001822,2,106589,1001822
1001986,2,171,173
1001987,2,171,173
1001988,2,561,562
1001989,2,561,562
1001991,2,561,562
1002116,2,152267,1002116
100217,10239,10492,100217
100220,10239,10492,100220
100225,2,1184606,100225
100226,2,1883,1902
1002273,10239,227307,1002273
1002340,2,191028,1002340
1002359,10239,1308858,1002359
1002360,10239,1308858,1002360
1002361,10239,1308858,1002361
1002362,10239,1308858,1002362
1002364,2,568,569
1002365,2,1578,47715
1002366,2,1637,1642
1002367,2,838,363265
1002368,2,158876,158877
1002369,2,1870884,1496
1002526,2,286,1002526
1002672,2,198251,1002672
1002681,10239,10814,1002681
1002691,2,1742983,1002691
1002724,10239,187217,1002724
1002725,10239,10663,1914205
1002804,2,209,56877
1002805,2,209,56877
1002809,2,648800,76853
1002870,2,1154586,1002870
1002918,10239,686982,686985
1002921,10239,686982,686984
1003,2,1938003,1003
1003110,2,84593,1003110
1003177,10239,,1003177
1003185,2,590,28901
1003186,2,590,28901
1003187,2,590,28901
1003188,2,590,28901
1003189,2,590,28901
1003191,2,590,28901
1003195,2,1883,29303
1003200,2,222,1287735
1003201,2,780,785
1003202,2,780,785
1003237,2,1543705,28077
1003238,2,810,83555
1003239,2,1386,1396
1003335,2759,4910,4911
1003835,10239,2501980,2509281
1003891,10239,1914293,1003891
1004,2,79328,1004
1004049,10239,,1004049
1004150,2,29487,1004150
1004151,2,29487,1004150
1004152,2,2093,2128
1004153,2,561,562
1004159,2,29487,1004159
1004279,2,68287,1004279
1004304,2,1004300,1004304
1004316,2,662,1004316
1004326,2,662,1004326
100469,2,2529408,100469
1004785,2,226,28108
1004786,2,226,314275
1004787,2,226,28108
1004788,2,226,28108
100480,2,,100480
1004836,2,89583,1004836
1004901,2,2053,1004901
1004951,2,1301,1307
1004952,2,1301,1307
1004953,2,1279,1280
1004954,2,234,29461
1004955,2,234,29459
1004956,2,234,29459
1004957,2,234,29459
1005041,2,1301,1307
1005042,2,1301,1307
1005043,2,568988,138073
1005048,2,202907,158899
1005056,10239,1623283,1005056
1005057,2,32199,9
1005058,2,155493,750
1005090,2,32199,9
1005394,2,590,28901
1005395,2,286,303
1005396,2,561,562
1005397,2,561,562
1005398,2,561,562
1005399,2,561,562
1005400,2,561,562
1005401,2,561,562
1005402,2,561,562
1005403,2,561,562
1005404,2,561,562
1005405,2,561,562
1005406,2,561,562
1005407,2,561,562
1005408,2,561,562
1005410,2,561,562
1005411,2,561,562
1005412,2,561,562
1005413,2,561,562
1005414,2,561,562
1005415,2,561,562
1005416,2,561,562
1005418,2,561,562
1005419,2,561,562
1005420,2,561,562
1005421,2,561,562
1005422,2,561,562
1005423,2,561,562
1005424,2,561,562
1005430,2,561,562
1005431,2,561,562
1005432,2,561,562
1005433,2,561,562
1005434,2,561,562
1005435,2,561,562
1005436,2,561,562
1005437,2,561,562
1005438,2,561,562
1005439,2,561,562
1005440,2,561,562
1005441,2,561,562
1005442,2,561,562
1005450,2,561,562
1005452,2,561,562
1005455,2,561,562
1005460,2,561,562
1005461,2,561,562
1005462,2,561,562
1005463,2,561,562
1005464,2,561,562
1005466,2,561,562
1005467,2,561,562
1005469,2,561,562
1005470,2,561,562
1005471,2,561,562
1005472,2,561,562
1005473,2,561,562
1005474,2,561,562
1005475,2,561,562
1005476,2,561,562
1005477,2,561,562
1005478,2,561,562
1005479,2,561,562
1005480,2,561,562
1005481,2,561,562
1005482,2,561,562
1005483,2,561,562
1005484,2,561,562
1005485,2,561,562
1005486,2,561,562
1005487,2,561,562
1005488,2,561,562
1005489,2,561,562
1005490,2,561,562
1005491,2,561,562
1005492,2,561,562
1005493,2,561,562
1005494,2,561,562
1005495,2,561,562
1005496,2,561,562
1005497,2,561,562
1005498,2,561,562
1005499,2,561,562
1005500,2,561,562
1005501,2,561,562
1005502,2,561,562
1005503,2,561,562
1005504,2,561,562
1005505,2,561,562
1005506,2,561,562
1005507,2,561,562
1005508,2,561,562
1005509,2,561,562
1005510,2,561,562
1005511,2,561,562
1005512,2,561,562
1005513,2,561,562
1005514,2,561,562
1005515,2,561,562
1005516,2,561,562
1005517,2,561,562
1005518,2,561,562
1005519,2,561,562
1005520,2,561,562
1005521,2,561,562
1005522,2,561,562
1005523,2,561,562
1005524,2,561,562
1005526,2,561,562
1005527,2,561,562
1005528,2,561,562
1005529,2,561,562
1005530,2,561,562
1005531,2,561,562
1005532,2,561,562
1005533,2,561,562
1005534,2,561,562
1005535,2,561,562
1005536,2,561,562
1005537,2,561,562
1005538,2,561,562
1005539,2,561,562
1005540,2,561,562
1005541,2,561,562
1005542,2,561,562
1005543,2,561,562
1005544,2,561,562
1005545,2,561,562
1005546,2,561,562
1005547,2,561,562
1005548,2,561,562
1005549,2,561,562
1005550,2,561,562
1005551,2,561,562
1005552,2,561,562
1005553,2,561,562
1005554,2,561,562
1005555,2,561,562
1005557,2,561,562
1005558,2,561,562
1005559,2,561,562
1005560,2,561,562
1005561,2,561,562
1005562,2,561,562
1005563,2,561,562
1005564,2,561,562
1005565,2,561,562
1005566,2,561,562
1005567,2,561,562
1005665,2,1330547,1005665
1005667,2,1330547,1005667
1005704,2,1301,1303
