taxonId,superkingdom,genus,species
100,Bacteria,Ancylobacter,Ancylobacter aquaticus
1000373,Viruses,Quadrivirus,Rosellinia necatrix quadrivirus 1
100053,Bacteria,Leptospira,Leptospira alexanderi
1000561,Bacteria,Pseudomonas,Pseudomonas aeruginosa
1000562,Bacteria,Streptococcus,Streptococcus phocae
1000565,Bacteria,Methyloversatilis,Methyloversatilis universalis
1000568,Bacteria,Megasphaera,Megasphaera sp. UPII 199-6
1000569,Bacteria,Megasphaera,Megasphaera sp. UPII 135-E
1000570,Bacteria,Streptococcus,Streptococcus anginosus
1000588,Bacteria,Streptococcus,Streptococcus mitis
1000589,Bacteria,Streptococcus,Streptococcus dysgalactiae
1000590,Bacteria,Staphylococcus,Staphylococcus epidermidis
1000664,Viruses,Begomovirus,Chilli leaf curl Vellanad virus
1000665,Viruses,Begomovirus,Chilli leaf curl Kanpur virus
1000690,Viruses,Betasatellite,Chili leaf curl Jaunpur betasatellite
1000935,Bacteria,Anaplasma,Anaplasma marginale
1000936,Bacteria,Anaplasma,Anaplasma marginale
1000937,Bacteria,Anaplasma,Anaplasma marginale
1000938,Bacteria,Anaplasma,Anaplasma marginale
1000939,Bacteria,Anaplasma,Anaplasma marginale
1000951,Bacteria,Vibrio,Vibrio cholerae
1000952,Bacteria,Vibrio,Vibrio cholerae
1000953,Bacteria,Vibrio,Vibrio cholerae
1001080,Viruses,Orthohantavirus,Rockport orthohantavirus
1001240,Bacteria,Cryobacterium,Cryobacterium roopkundense
1001341,Viruses,Begomovirus,Vernonia yellow vein Fujian virus
1001530,Bacteria,Photobacterium,Photobacterium leiognathi
1001533,Viruses,Dyoxipapillomavirus,Dyoxipapillomavirus 1
1001534,Bacteria,Francisella,Francisella tularensis
1001542,Bacteria,Francisella,Francisella tularensis
1001582,Bacteria,Bacillus,Bacillus amyloliquefaciens
1001583,Bacteria,Lactobacillus,Lactobacillus brevis
1001585,Bacteria,Pseudomonas,Pseudomonas mendocina
1001586,Bacteria,Leptospira,Leptospira interrogans
1001587,Bacteria,Leptospira,Leptospira interrogans
1001588,Bacteria,Leptospira,Leptospira interrogans
1001589,Bacteria,Leptospira,Leptospira weilii
1001590,Bacteria,Leptospira,Leptospira interrogans
1001591,Bacteria,Leptospira,Leptospira interrogans
1001592,Bacteria,Leptospira,Leptospira santarosai
1001593,Bacteria,Leptospira,Leptospira noguchii
1001595,Bacteria,Leptospira,Leptospira noguchii
1001596,Bacteria,Leptospira,Leptospira interrogans
1001597,Bacteria,Leptospira,Leptospira interrogans
1001598,Bacteria,Leptospira,Leptospira interrogans
1001599,Bacteria,Leptospira,Leptospira interrogans
1001601,Bacteria,Leptospira,Leptospira interrogans
1001602,Bacteria,Leptospira,Leptospira interrogans
1001603,Bacteria,Leptospira,Leptospira interrogans
1001704,Bacteria,Mycobacteroides,Mycobacteroides abscessus
1001705,Bacteria,Mycobacteroides,Mycobacteroides abscessus
1001706,Bacteria,Mycobacteroides,Mycobacteroides abscessus
1001707,Bacteria,Mycobacteroides,Mycobacteroides abscessus
1001708,Bacteria,Mycobacteroides,Mycobacteroides abscessus
1001709,Bacteria,Mycobacteroides,Mycobacteroides abscessus
1001710,Bacteria,Mycobacteroides,Mycobacteroides abscessus
1001711,Bacteria,Mycobacteroides,Mycobacteroides abscessus
1001712,Bacteria,Mycobacteroides,Mycobacteroides abscessus
1001713,Bacteria,Mycobacteroides,Mycobacteroides abscessus
1001714,Bacteria,Mycobacteroides,Mycobacteroides abscessus
1001715,Bacteria,Mycobacteroides,Mycobacteroides abscessus
1001716,Bacteria,Mycobacteroides,Mycobacteroides abscessus
1001717,Bacteria,Mycobacteroides,Mycobacteroides abscessus
1001718,Bacteria,Mycobacteroides,Mycobacteroides abscessus
1001719,Bacteria,Mycobacteroides,Mycobacteroides abscessus
1001720,Bacteria,Mycobacteroides,Mycobacteroides abscessus
1001721,Bacteria,Mycobacteroides,Mycobacteroides abscessus
1001722,Bacteria,Mycobacteroides,Mycobacteroides abscessus
1001723,Bacteria,Mycobacteroides,Mycobacteroides abscessus
1001724,Bacteria,Mycobacteroides,Mycobacteroides abscessus
1001725,Bacteria,Mycobacteroides,Mycobacteroides abscessus
1001726,Bacteria,Mycobacteroides,Mycobacteroides abscessus
1001727,Bacteria,Mycobacteroides,Mycobacteroides abscessus
1001728,Bacteria,Mycobacteroides,Mycobacteroides abscessus
1001729,Bacteria,Mycobacteroides,Mycobacteroides abscessus
1001730,Bacteria,Mycobacteroides,Mycobacteroides abscessus
1001731,Bacteria,Mycobacteroides,Mycobacteroides abscessus
1001732,Bacteria,Mycobacteroides,Mycobacteroides abscessus
1001733,Bacteria,Mycobacteroides,Mycobacteroides abscessus
1001734,Bacteria,Mycobacteroides,Mycobacteroides abscessus
1001735,Bacteria,Mycobacteroides,Mycobacteroides abscessus
1001736,Bacteria,Mycobacteroides,Mycobacteroides abscessus
1001737,Bacteria,Mycobacteroides,Mycobacteroides abscessus
1001738,Bacteria,Mycobacteroides,Mycobacteroides abscessus
1001739,Bacteria,Mycobacteroides,Mycobacteroides abscessus
100174,Bacteria,Clostridium,Clostridium peptidivorans
1001740,Bacteria,Mycobacteroides,Mycobacteroides abscessus
1001741,Bacteria,Mycobacteroides,Mycobacteroides abscessus
